Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
GENE1	lof	0.001	0.0372094907187343	0.0372094907187343	0.0372094907187343	0.131372494195048	0.063055022169771	5	2	3	0	4
GENE1	lof	0.01	0.443421108195811	0.298356383943492	0.850452581019783	-0.0213981144344155	0.0205758119499955	98	7	91	3	12
GENE1	missense;lof	0.001	0.0583927835869049	0.0583927835869049	0.0583927835869049	0.0920773759154817	0.0486477257076314	10	3	7	0	7
GENE1	missense;lof	0.01	0.534257518384277	0.363254926547598	0.940486389362418	-0.0164267868401283	0.0180676876242506	119	10	109	4	17
GENE1	missense;lof;synonymous	0.001	0.0583927835869049	0.0583927835869049	0.0583927835869049	0.0920773759154817	0.0486477257076314	10	3	7	0	7
GENE1	missense;lof;synonymous	0.01	0.534257518384277	0.363254926547598	0.940486389362418	-0.0164267868401283	0.0180676876242506	119	10	109	4	17
GENE1	Cauchy	NA	0.0961340490272096	0.0888020149475899	0.23121095288337	NA	NA	NA	NA	NA	NA	NA
GENE2	lof	0.001	0.383040207887141	0.383040207887141	0.383040207887141	-0.0549741137131291	0.0630214264461218	5	0	5	0	3
GENE2	lof	0.01	0.591757883816115	0.924412004003829	0.459577738632485	-0.00327401284081223	0.0345077330405569	22	2	20	1	4
GENE2	missense;lof	0.001	0.982072423526321	0.982072423526321	0.982072423526321	-0.000869779030603042	0.0387071204209582	15	2	13	0	9
GENE2	missense;lof	0.01	0.626269256913263	0.450941735739776	0.695733761002968	0.0161582655458532	0.0214344400074723	77	10	67	3	15
GENE2	missense;lof;synonymous	0.001	0.982072423526321	0.982072423526321	0.982072423526321	-0.000869779030603042	0.0387071204209582	15	2	13	0	9
GENE2	missense;lof;synonymous	0.01	0.626269256913263	0.450941735739776	0.695733761002968	0.0161582655458532	0.0214344400074723	77	10	67	3	15
GENE2	Cauchy	NA	0.947748631839636	0.95129848291357	0.947961039734891	NA	NA	NA	NA	NA	NA	NA
